2,MTZ + Lazy + Sec,GG + Lazy + Sec
att48,14310.252047,4048.231663
att48,22468.151025,3574.504837
att48,18292.072794,3661.030811
att48,18072.410919,3532.464134
att48,16818.979136,3930.092973
berlin52,252.302974,6045.382270
berlin52,391.183701,2441.202838
berlin52,363.459078,2866.257228
berlin52,342.058826,5427.977077
berlin52,265.964754,3289.059277
burma14,14.781138,50.958204
burma14,16.136354,50.950501
burma14,17.407547,53.368280
burma14,14.297671,52.120405
burma14,15.749646,51.160370
eil101,4492.417608,123177.667184
eil101,5372.534653,59104.395733
eil101,2471.848297,82707.219921
eil101,3713.919674,80725.491561
eil101,4574.690046,65193.262939
eil51,463.651011,2385.335131
eil51,286.439002,2704.118402
eil51,317.429160,2444.248819
eil51,382.257240,3997.212066
eil51,373.322711,2500.070311
eil76,1045.267385,9493.534423
eil76,1061.119890,8781.148763
eil76,1511.389500,10909.971351
eil76,1141.580979,7759.717661
eil76,1469.639197,11414.989762
gr96,259179.745815,155884.544795
gr96,1020078.921599,243995.783492
gr96,1020279.546596,132040.158850
gr96,1020815.088462,118737.041718
gr96,191470.029930,152632.031194
kroA100,1020013.294076,496120.128130
kroA100,460671.324843,212392.722696
kroA100,1020530.121979,530380.794456
kroA100,370740.673895,358436.240732
kroA100,1020182.913379,172166.112904
kroB100,1020497.593779,305274.040959
kroB100,1020397.859692,242829.015183
kroB100,1020358.229799,259860.287476
kroB100,1020208.013229,328304.376464
kroB100,1021633.150588,402096.704077
kroC100,912943.363943,142114.913841
kroC100,1020052.308629,144645.427136
kroC100,1020291.043783,107676.998726
kroC100,1020086.941180,195223.121084
kroC100,1020213.705420,137099.067370
kroD100,1020653.532952,142131.027251
kroD100,1020666.863044,138697.913008
kroD100,1020622.936384,129021.402487
kroD100,1021529.090132,97698.743418
kroD100,1020776.662447,166957.530120
kroE100,1020756.908781,319007.946845
kroE100,399870.487039,158686.393606
kroE100,528227.199409,332146.630042
kroE100,232235.715366,529701.262789
kroE100,313824.448990,274078.595100
lin105,89580.166543,122426.395764
lin105,165013.530088,335898.873990
lin105,1020020.182825,124344.365770
lin105,144789.414222,287948.905223
lin105,622504.576394,153144.594275
pr107,1021497.751801,491872.726405
pr107,1021547.213664,318108.204062
pr107,1021693.482011,877247.137791
pr107,1020703.197782,333739.253740
pr107,1021392.781092,1020038.905374
pr76,418246.099958,228074.210155
pr76,1023854.818790,349754.330953
pr76,718724.341261,191613.768396
pr76,119580.039848,264357.522241
pr76,173462.480833,212878.138064
rat99,3724.149598,38111.505639
rat99,3653.831918,35508.467896
rat99,3424.435016,65591.724458
rat99,3613.373208,28223.967812
rat99,3806.048329,37437.318605
rd100,123890.383155,189713.842405
rd100,106719.266533,96725.390858
rd100,86270.857276,123086.468365
rd100,200491.644694,86978.667192
rd100,87062.387161,104990.147678
st70,17423.376200,41883.121722
st70,43632.797250,34710.639030
st70,58993.773911,34499.018474
st70,51280.433354,25324.160707
st70,39918.480042,37027.220272
ulysses16,437.834851,88.469820
ulysses16,388.130910,95.676642
ulysses16,554.413612,62.215304
ulysses16,348.740241,70.586322
ulysses16,429.276446,68.203283
ulysses22,17178.256473,203.276546
ulysses22,26996.157653,224.695697
ulysses22,27561.724767,189.643821
ulysses22,20784.608320,172.687006
ulysses22,13996.688645,243.075523