4,GG,GG Original,GG + Lazy,GG + Lazy + Sec
att48,4858.932533,4945.356236,6758.133246,4048.231663
att48,7873.119040,6671.407607,7018.134333,3574.504837
att48,5671.044229,4637.415777,6759.670987,3661.030811
att48,6084.763030,5403.205562,7044.441696,3532.464134
att48,6244.029734,8832.656446,8380.734105,3930.092973
berlin52,2991.005516,3731.322965,6054.961333,6045.382270
berlin52,4414.585450,4193.360024,5552.070159,2441.202838
berlin52,5132.440253,10153.193540,6097.843043,2866.257228
berlin52,4321.489178,2468.476448,5860.910087,5427.977077
berlin52,2411.899674,2406.895418,5279.227988,3289.059277
burma14,101.263900,110.858069,31.997959,50.958204
burma14,124.808288,110.530369,33.802277,50.950501
burma14,123.292142,121.260756,34.586762,53.368280
burma14,111.911008,114.300862,33.203831,52.120405
burma14,124.942195,125.310867,25.005397,51.160370
eil101,78760.936733,107353.059946,789795.242737,123177.667184
eil101,85518.959173,63815.903682,762333.818721,59104.395733
eil101,91664.641167,87987.652802,1020019.029687,82707.219921
eil101,90890.221090,95665.009890,1015271.041435,80725.491561
eil101,100179.250566,84707.567348,1020019.041715,65193.262939
eil51,10654.276707,8877.027348,8827.548555,2385.335131
eil51,8010.047519,11537.616934,11629.872143,2704.118402
eil51,9276.873564,9796.696686,8294.445704,2444.248819
eil51,11232.371222,12548.144026,9225.300142,3997.212066
eil51,9033.582130,8565.336544,9273.475972,2500.070311
eil76,36151.063000,39052.214403,107991.364685,9493.534423
eil76,36489.372061,38037.039136,235044.831249,8781.148763
eil76,47889.085340,76407.973273,74019.060032,10909.971351
eil76,29329.612535,56243.953909,164207.938674,7759.717661
eil76,39034.082952,65132.521771,173421.115912,11414.989762
gr96,141924.687125,97422.491488,1020161.966245,155884.544795
gr96,152075.265180,112880.934220,1020151.754506,243995.783492
gr96,66338.322373,158225.389260,997186.160651,132040.158850
gr96,96956.163859,157186.749609,1020137.440908,118737.041718
gr96,172665.416335,104809.370537,884775.548256,152632.031194
kroA100,220716.614589,170175.686344,1020194.696403,496120.128130
kroA100,196997.101851,83451.559022,1020136.925596,212392.722696
kroA100,151897.266421,135548.962099,1020294.839032,530380.794456
kroA100,128284.123499,159640.850634,1020218.617443,358436.240732
kroA100,123492.819643,197038.098374,1020246.977761,172166.112904
kroB100,258112.805993,216676.475554,1020138.464364,305274.040959
kroB100,128964.907753,115380.439344,1020118.041375,242829.015183
kroB100,166582.527704,183686.151540,1020211.005028,259860.287476
kroB100,240280.768552,153775.518912,1020157.543281,328304.376464
kroB100,137341.381129,150390.911509,1020107.747783,402096.704077
kroC100,190049.980472,234620.755288,1020200.814592,142114.913841
kroC100,110921.042422,110394.942907,1020212.774052,144645.427136
kroC100,153256.100411,219821.394480,1020171.393188,107676.998726
kroC100,100837.850124,112970.502426,1020138.842417,195223.121084
kroC100,131725.631217,208186.039850,1020111.219007,137099.067370
kroD100,124789.733428,112183.386688,1020019.112131,142131.027251
kroD100,135318.361248,158398.323853,1020186.223220,138697.913008
kroD100,146074.277021,170584.742819,1020232.776025,129021.402487
kroD100,157186.575796,164205.224003,1020022.674613,97698.743418
kroD100,106698.775546,142628.088285,1020203.131271,166957.530120
kroE100,181659.326390,232453.174310,1020113.991719,319007.946845
kroE100,264653.508546,196264.797306,1020283.963982,158686.393606
kroE100,157221.664573,248794.761151,1020207.334473,332146.630042
kroE100,232249.407077,84448.209767,1020136.241787,529701.262789
kroE100,212649.983563,153860.242072,1020191.713728,274078.595100
lin105,97718.066069,125347.267095,1020204.386087,122426.395764
lin105,103329.901076,100310.547449,1020181.341250,335898.873990
lin105,98034.219487,111677.654195,1020025.353550,124344.365770
lin105,101763.420654,102990.557954,1020302.716020,287948.905223
lin105,102395.167727,161478.459400,1020174.380795,153144.594275
pr107,1020050.417192,1020038.459461,1020202.453644,491872.726405
pr107,1020249.867126,1020112.771020,1020299.678555,318108.204062
pr107,1020202.594711,1020046.535618,1020328.812751,877247.137791
pr107,1020089.921637,1020348.895044,1020201.323065,333739.253740
pr107,1020059.895274,1020274.994897,1020200.170083,1020038.905374
pr76,111407.744477,100507.245251,1020096.897141,228074.210155
pr76,103579.703828,85504.219223,1020010.274611,349754.330953
pr76,131909.102105,85853.396016,982220.748381,191613.768396
pr76,100700.087457,65418.046006,711723.951093,264357.522241
pr76,70346.660546,78881.244606,1020013.823281,212878.138064
rat99,97387.107641,71023.862755,477517.627713,38111.505639
rat99,86979.584846,113622.706029,310787.490837,35508.467896
rat99,106294.436057,132573.344498,964570.111204,65591.724458
rat99,140452.662884,104995.737461,294331.688274,28223.967812
rat99,135199.445901,147272.851191,742574.693357,37437.318605
rd100,139851.253349,116201.684090,967940.892761,189713.842405
rd100,102147.989998,134825.452196,1020186.629521,96725.390858
rd100,74650.036360,131293.922568,1020345.141785,123086.468365
rd100,118315.797846,94515.979426,1020151.721980,86978.667192
rd100,97675.716009,91820.288205,1020018.457951,104990.147678
st70,20769.640436,28227.664675,184283.131932,41883.121722
st70,26782.467210,37350.222047,368425.651783,34710.639030
st70,42369.869840,49389.158475,784232.260841,34499.018474
st70,41291.296696,31166.386456,171936.381064,25324.160707
st70,24994.894684,24583.713078,237247.568654,37027.220272
ulysses16,171.195801,297.990161,65.087016,88.469820
ulysses16,138.686214,219.453414,80.575308,95.676642
ulysses16,177.149976,174.650798,94.353198,62.215304
ulysses16,146.235804,272.099843,104.712186,70.586322
ulysses16,258.344136,180.798509,61.482764,68.203283
ulysses22,420.624081,624.856659,711.293962,203.276546
ulysses22,650.297935,709.479503,441.121884,224.695697
ulysses22,333.169208,555.803230,566.867007,189.643821
ulysses22,512.120881,498.532861,376.103241,172.687006
ulysses22,457.625296,419.705354,758.972262,243.075523