2,Callback,Callback + 2OPT
a280,3487.780360,3155.417419
a280,3628.578056,1728.599779
a280,3316.544147,2071.884518
a280,2456.307528,3543.031745
ali535,51635.850163,46131.921836
ali535,69225.544822,39041.857560
ali535,100750.552326,80913.549594
ali535,59308.477356,31440.341343
att532,133631.155255,167822.878633
att532,197891.273261,80015.100042
att532,148006.766919,50126.194301
att532,135562.570237,82702.728823
d493,50294.413901,54470.587922
d493,51153.270837,44861.229630
d493,44446.089415,35586.723086
d493,45702.101704,67642.100650
fl417,84746.772673,79753.812715
fl417,69236.523266,47765.196639
fl417,68384.710344,211197.276932
fl417,83154.552084,177480.415094
gil262,7315.149127,6316.787258
gil262,8279.352533,6058.607060
gil262,8389.647493,6602.210693
gil262,7436.007542,8226.346123
gr202,2277.178005,2276.937177
gr202,1247.483098,2494.470488
gr202,1896.455347,1771.830304
gr202,1397.421988,2118.932689
gr229,10660.654316,7083.889129
gr229,6756.957452,6699.627584
gr229,7160.120028,7675.236942
gr229,6013.223680,6133.442558
gr431,36928.559531,56196.911441
gr431,43736.264767,46470.506644
gr431,54402.629119,40960.542638
gr431,57560.854032,39930.089909
gr666,173834.412698,105620.123808
gr666,111569.327506,205956.347857
gr666,151448.893530,66652.582963
gr666,141558.620970,116792.114501
kroA200,6074.208364,4436.748789
kroA200,4946.220673,2682.987531
kroA200,4864.414551,4002.440738
kroA200,5410.812512,3313.157564
kroB200,3414.700582,2646.575635
kroB200,2213.243755,1603.454625
kroB200,3514.242582,2746.091288
kroB200,3462.697941,2736.252330
lin318,13364.579851,11458.344213
lin318,10779.588194,11959.560807
lin318,10290.350013,12312.797299
lin318,11383.626178,12025.817210
p654,71234.185327,197526.717086
p654,173128.088299,49892.939807
p654,114135.255514,236031.049284
p654,123296.047458,80508.695686
pcb442,10714.607067,7625.873707
pcb442,7541.765672,9318.572800
pcb442,12253.642159,8329.592596
pcb442,10651.277527,9525.976141
pr226,6832.698569,4478.210021
pr226,3204.122959,5399.837327
pr226,10188.371166,8962.666055
pr226,8235.133035,5625.704619
pr264,2950.678438,2571.504452
pr264,4797.678678,3427.887675
pr264,6247.730518,4339.369801
pr264,3730.750244,4001.479113
pr299,36014.855337,12604.772535
pr299,49839.879190,41841.789186
pr299,44862.208879,24524.929893
pr299,38068.556364,24965.942929
pr439,98057.742487,83101.871063
pr439,214235.474888,157107.851721
pr439,140333.006381,63096.117476
pr439,98058.501921,92958.757704
rat575,171323.386169,111773.234723
rat575,60369.805879,126974.400218
rat575,84918.068890,213234.629141
rat575,114670.774405,79479.908480
rd400,20992.596531,17356.109832
rd400,23511.893382,21898.906275
rd400,22504.862426,40425.318428
rd400,27528.914822,20072.672459
ts225,1020814.050380,1020661.760569
ts225,1020380.606884,1020574.895730
ts225,1021047.356673,1021169.688015
ts225,1021339.496014,1020824.163144
tsp225,3120.136021,3000.441562
tsp225,3817.281084,2923.575749
tsp225,2586.112961,3925.375324
tsp225,3325.745100,1978.393719
u574,128558.386092,54990.070444
u574,95023.409913,69447.819240
u574,95630.850550,91629.735157
u574,199514.230942,83337.485718
rand7_541,64408.945141,77323.684484
rand7_541,105313.342386,59185.323049
rand7_541,80261.423387,72551.131144
rand7_541,104588.808178,70043.901706