2,Soft Fixing,Hard Fixing
a280,3432.000000,2602.000000
a280,3541.000000,2600.000000
a280,3789.000000,2579.000000
a280,3974.000000,2579.000000
ali535,273029.000000,205864.000000
ali535,270589.000000,202662.000000
ali535,279207.000000,205843.000000
ali535,276517.000000,205555.000000
att532,30848.000000,27765.000000
att532,34658.000000,27773.000000
att532,34658.000000,27726.000000
att532,33702.000000,27733.000000
d493,39533.000000,35160.000000
d493,38162.000000,35167.000000
d493,37957.000000,35092.000000
d493,40404.000000,35109.000000
d657,144712.000000,49282.000000
d657,144524.000000,49016.000000
d657,116847.000000,49016.000000
d657,116847.000000,49306.000000
fl417,11870.000000,11862.000000
fl417,11861.000000,11870.000000
fl417,11870.000000,11878.000000
fl417,11861.000000,11870.000000
gil262,2380.000000,2380.000000
gil262,2378.000000,2380.000000
gil262,2378.000000,2385.000000
gil262,2378.000000,2378.000000
gr202,40160.000000,40160.000000
gr202,40160.000000,40160.000000
gr202,40160.000000,40160.000000
gr202,40187.000000,40187.000000
gr431,177382.000000,171516.000000
gr431,172246.000000,171997.000000
gr431,177681.000000,172561.000000
gr431,173949.000000,172138.000000
gr666,707837.000000,295532.000000
gr666,846111.000000,297226.000000
gr666,877897.000000,295270.000000
gr666,902076.000000,295836.000000
lin318,42155.000000,43051.000000
lin318,43051.000000,42029.000000
lin318,42943.000000,46942.000000
lin318,42155.000000,42029.000000
p654,82347.000000,36443.000000
p654,72886.000000,38617.000000
p654,77234.000000,36413.000000
p654,77259.000000,34743.000000
pcb442,127207.000000,50883.000000
pcb442,117132.000000,50927.000000
pcb442,96761.000000,51147.000000
pcb442,97456.000000,51293.000000
pr1002,3887291.000000,265632.000000
pr1002,3718988.000000,265642.000000
pr1002,3648512.000000,264296.000000
pr1002,3613910.000000,263935.000000
pr264,49135.000000,49135.000000
pr264,49135.000000,49431.000000
pr264,49135.000000,50325.000000
pr264,49135.000000,49955.000000
pr299,48279.000000,48191.000000
pr299,48466.000000,48597.000000
pr299,48279.000000,48191.000000
pr299,48597.000000,48191.000000
pr439,115491.000000,108375.000000
pr439,113491.000000,107752.000000
pr439,111491.000000,108462.000000
pr439,115053.000000,107397.000000
rat575,7053.000000,6802.000000
rat575,6953.000000,6818.000000
rat575,7294.000000,6818.000000
rat575,6793.000000,6793.000000
rat783,49865.000000,8892.000000
rat783,49110.000000,8861.000000
rat783,66220.000000,8892.000000
rat783,51889.000000,8861.000000
rd400,46128.000000,15394.000000
rd400,46059.000000,15355.000000
rd400,46026.000000,15342.000000
rd400,46128.000000,15355.000000
u1060,3854112.000000,229645.000000
u1060,3681894.000000,229834.000000
u1060,3687485.000000,231890.000000
u1060,3681894.000000,229917.000000
u574,148428.000000,37107.000000
u574,149246.000000,37316.000000
u574,149246.000000,37316.000000
u574,147788.000000,36947.000000
u724,180474.000000,42295.000000
u724,175112.000000,43778.000000
u724,191463.000000,42295.000000
u724,165548.000000,43695.000000
vm1084,5087020.000000,264351.000000
vm1084,4892700.000000,244635.000000
vm1084,4980215.000000,245975.000000
vm1084,4980215.000000,245975.000000
rand7_541,42278.000000,28441.000000
rand7_541,42570.000000,28533.000000
rand7_541,42760.000000,28403.000000
rand7_541,42564.000000,28393.000000